ID,Replicate,Count,Counter,Food,Genotype,Died,Fungus,Bacteria,Censored,Contaminated, Notes
1,1,5,Anne,HB101,ERT250,0,0,0,0,0,
1,2,11,Anne,HB101,ERT250,0,0,0,0,0,
1,3,10,Anne,HB101,ERT250,0,0,0,0,0,
1,4,13,Anne,HB101,ERT250,0,0,0,0,0,
1,5,6,Anne,HB101,ERT250,0,0,0,0,0,
1,6,9,Anne,HB101,ERT250,0,0,0,0,0,
2,1,16,Mandy,DA837,N2,0,0,0,0,0,
2,2,10,Mandy,DA837,N2,0,0,0,0,0,
2,3,19,Mandy,DA837,N2,0,0,0,0,0,
2,4,17,Mandy,DA837,N2,0,0,0,0,0,
2,5,16,Mandy,DA837,N2,0,0,0,0,0,
2,6,21,Mandy,DA837,N2,0,0,0,0,0,
3,1,11,Anne,HB101,ERT250,0,1,0,0,1,contaminated 8/25
3,2,21,Anne,HB101,ERT250,0,1,0,0,1,contaminated 8/25
3,3,23,Anne,HB101,ERT250,0,1,0,0,1,contaminated 8/25
3,4,12,Anne,HB101,ERT250,0,1,0,0,1,contaminated 8/25
3,5,9,Anne,HB101,ERT250,0,1,0,0,1,contaminated 8/25
3,6,12,Anne,HB101,ERT250,0,1,0,0,1,contaminated 8/25
4,1,5,Anne,HB101,ERT250,0,0,0,0,0,
4,2,7,Anne,HB101,ERT250,0,0,0,0,0,
4,3,3,Anne,HB101,ERT250,0,0,0,0,0,
4,4,4,Anne,HB101,ERT250,0,0,0,0,0,
4,5,4,Anne,HB101,ERT250,0,0,0,0,0,
4,6,6,Anne,HB101,ERT250,0,0,0,0,0,
5,1,10,Anne,HB101,ERT250,0,1,0,0,1,contaminated 8/25
5,2,2,Anne,HB101,ERT250,0,1,0,0,1,contaminated 8/25
5,3,7,Anne,HB101,ERT250,0,1,0,0,1,contaminated 8/25
5,4,8,Anne,HB101,ERT250,0,1,0,0,1,contaminated 8/25
5,5,8,Anne,HB101,ERT250,0,1,0,0,1,contaminated 8/25
5,6,5,Anne,HB101,ERT250,0,1,0,0,1,contaminated 8/25
6,1,25,Mandy,DA837,N2,0,0,0,0,0,
6,2,21,Mandy,DA837,N2,0,0,0,0,0,
